学科,年份,省份,类型,客观题数,客观缺口,合计缺口,听力题,源文件路径
chinese,2021,tianjin,independent,15,4,10,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2021/2021年高考语文试卷（天津）（解析卷）.docx
biology,2010,sichuan,independent,4,4,10,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/biology/2010/2010年高考生物试卷（四川）（解析卷）.docx
physics,2014,jiangsu,independent,11,4,10,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2014/2014年高考物理试卷（江苏）（解析卷）.docx
physics,2009,shandong,independent,6,4,10,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2009/2009年高考物理真题（山东）（解析卷）.docx
chinese,2024,national,national_a,12,4,10,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/chinese/2024/2024年高考语文试卷（全国甲卷）（解析卷）.docx
chinese,2012,fujian,independent,5,4,10,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2012/2012年高考语文试卷（福建）（解析卷）.docx
biology,2022,hebei,independent,18,4,10,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/biology/2022/2022年高考生物试卷（河北）（解析卷）.docx
physics,2011,jiangsu,independent,10,4,9,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2011/2011年高考物理试卷（江苏）（解析卷）.docx
physics,2015,national,national_i,9,4,9,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2015/2015年高考物理试卷（新课标Ⅰ）（解析卷）.docx
chinese,2021,beijing,independent,14,4,9,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2021/2021年高考语文试卷（北京）（解析卷）.docx
math,2021,shanghai,independent,4,4,9,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2021/2021年高考数学试卷（上海）（春考）（解析卷）.docx
politics,2018,jiangsu,independent,33,4,9,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/politics/2018/2018年高考政治试卷（江苏）（解析卷）.docx
politics,2010,jiangsu,independent,33,4,9,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/politics/2010/2010年高考政治试卷（江苏）（解析卷）.docx
chemistry,2013,anhui,independent,4,4,8,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chemistry/2013/2013年高考化学试卷（安徽）（解析卷）.docx
english,2010,tianjin,independent,30,4,8,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2010/2010年高考英语试卷（天津）（解析卷）.docx
physics,2020,national,national_i,9,4,8,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2020/2020年高考物理试卷（新课标Ⅰ）（解析卷）.docx
physics,2019,national,national_i,10,4,8,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2019/2019年高考物理试卷（新课标Ⅰ）（解析卷）.docx
physics,2017,national,national_i,9,4,8,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2017/2017年高考物理试卷（新课标Ⅰ）（解析卷）.docx
physics,2020,national,national_iii,9,4,8,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2020/2020年高考物理试卷（新课标Ⅲ）（解析卷）.docx
english,2018,jiangsu,independent,50,4,8,20,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2018/2018年高考英语试卷（江苏）（解析卷）   .docx
physics,2018,national,national_ii,9,4,8,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2018/2018年高考物理试卷（新课标Ⅱ）（解析卷）.docx
physics,2009,jiangsu,independent,9,4,8,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2009/2009年高考物理试卷（江苏）（解析卷）.docx
physics,2011,tianjin,independent,9,4,7,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2011/2011年高考物理真题（天津）（解析卷）.docx
physics,2011,sichuan,independent,4,4,7,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2011/2011年高考物理真题（四川）（解析卷）.docx
chinese,2017,national,national_i,6,4,7,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2017/2017年高考语文试卷（新课标Ⅰ卷）（解析卷）.docx
physics,2019,national,national_ii,10,4,7,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2019/2019年高考物理试卷（新课标Ⅱ）（解析卷）.docx
math,2014,tianjin,independent,5,4,7,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2014/2014年高考数学试卷（文）（天津）（解析卷）.docx
physics,2013,jiangsu,independent,13,4,7,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2013/2013年高考物理试卷（江苏）（解析卷）.docx
physics,2019,national,national_iii,10,4,7,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2019/2019年高考物理试卷（新课标Ⅲ）（解析卷）.docx
chinese,2012,jiangxi,independent,6,4,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2012/2012年高考语文试卷（江西）（解析卷）.docx
physics,2012,tianjin,independent,11,4,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2012/2012年高考物理试卷（天津）（解析卷）.docx
history,2012,sichuan,independent,5,4,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/history/2012/2012年高考历史试卷（四川）（解析卷）.docx
chinese,2018,national,national_ii,6,4,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2018/2018年高考语文试卷（新课标Ⅱ卷）（解析卷）.docx
biology,2016,jiangsu,independent,26,4,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/biology/2016/2016年高考生物试卷（江苏）（解析卷）.docx
biology,2014,jiangsu,independent,25,4,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/biology/2014/2014年高考生物试卷（江苏）（解析卷）.docx
physics,2018,jiangsu,independent,10,4,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2018/2018年高考物理试卷（江苏）（解析卷）.docx
politics,2015,national,national_i,12,4,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/politics/2015/2015年高考政治试卷（新课标Ⅰ）（解析卷）.docx
chinese,2019,tianjin,independent,7,4,5,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2019/2019年高考语文试卷（天津）（解析卷）.docx
chemistry,2009,sichuan,independent,9,4,5,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chemistry/2009/2009年高考化学试卷（四川）（解析卷）.docx
chemistry,2012,jiangsu,independent,15,4,5,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chemistry/2012/2012年高考化学试卷（江苏）（解析卷）   .docx
physics,2016,jiangsu,independent,9,4,5,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2016/2016年高考物理试卷（江苏）（解析卷）.docx
physics,2014,chongqing,independent,5,4,5,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2014/2014年高考物理试卷（重庆）（解析卷）.docx
physics,2012,jiangsu,independent,9,4,5,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2012/2012年高考物理试卷（江苏）（解析卷）.docx
english,2020,tianjin,independent,41,4,5,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2020/2020年高考英语试卷（天津）（第二次）（解析版）.docx
history,2012,chongqing,independent,6,4,5,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/history/2012/2012年高考历史试卷（重庆）（解析卷）.docx
geography,2018,jiangsu,independent,23,4,5,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/geography/2018/2018年高考地理试卷（江苏）（解析卷）   .docx
chemistry,2023,zhejiang,independent,22,4,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/chemistry/2023/2023年高考化学试卷（浙江）【1月】（解析卷）.docx
geography,2013,chongqing,independent,12,4,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/geography/2013/2013年高考地理试卷（重庆）（解析卷）.docx
english,2008,beijing,independent,54,4,4,20,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2008/2008年高考英语试卷（北京）（解析卷）.docx
geography,2020,jiangsu,independent,26,4,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/geography/2020/2020年高考地理试卷（江苏）（解析卷）   .docx
geography,2012,guangdong,independent,7,4,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/geography/2012/2012年高考地理试卷（广东）（解析卷）.docx
biology,2023,hainan,independent,14,4,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/biology/2023/2023年高考生物真题（海南）（解析卷）.docx
chemistry,2009,jiangsu,independent,17,4,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chemistry/2009/2009年高考化学试卷（江苏）（解析卷）.docx
english,2014,national,national_ii,36,4,4,20,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2014/2014年高考英语试卷（新课标Ⅱ卷）（解析卷）.docx
english,2011,hunan,independent,48,4,4,14,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/english/2011/2011年高考英语试卷（湖南）（解析卷）.docx
chemistry,2008,sichuan,independent,12,4,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chemistry/2008/2008年高考化学试卷（四川）（解析卷）.docx
biology,2015,shandong,independent,9,4,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/biology/2015/2015年高考生物试卷（山东）（解析卷）.docx
biology,2011,shanghai,independent,26,3,31,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/biology/2011/2011年高考生物试卷（上海）（解析卷）.docx
chinese,2020,jiangsu,independent,14,3,18,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2020/2020年高考语文试卷（江苏）（解析卷）   .docx
politics,2009,shanghai,independent,12,3,15,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/politics/2009/2009年高考政治试卷（上海）（解析卷）.docx
math,2012,hunan,independent,3,3,15,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2012/2012年高考数学试卷（文）（湖南）（解析卷）.docx
biology,2021,shanghai,independent,25,3,15,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/biology/2021/2021年高考生物试卷（上海）（答案卷）.docx
chinese,2009,zhejiang,independent,13,3,14,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2009/2009年高考语文试卷（浙江）（解析卷）.docx
chinese,2011,beijing,independent,5,3,14,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2011/2011年高考语文试卷（北京）（解析卷）.docx
english,2010,national,national_ii,39,3,13,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2010/2010年高考英语试卷（新课标Ⅱ卷）（解析卷）.docx
chinese,2022,national,new_gaokao_i,11,3,12,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/chinese/2022/2022年高考语文试卷（新高考Ⅰ卷）（解析卷）.docx
chinese,2023,national,national_a,11,3,11,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/chinese/2023/2023年高考语文试卷（全国甲卷）（解析卷）.docx
math,2008,sichuan,independent,4,3,11,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2008/2008年高考数学试卷（文）（四川）（非延考区）（解析卷）.docx
chinese,2008,hainan,independent,3,3,11,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2008/2008年高考语文试卷（新课标）（海南宁夏）（解析卷）.docx
english,2016,jiangsu,independent,39,3,10,12,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2016/2016年高考英语试卷（江苏）（解析卷）   .docx
chinese,2014,shandong,independent,7,3,10,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2014/2014年高考语文试卷（山东）（解析卷）.docx
chinese,2017,shandong,independent,14,3,10,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2017/2017年高考语文试卷（山东）（解析卷）.docx
english,2017,national,national_iii,36,3,9,20,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2017/2017年高考英语试卷（新课标Ⅲ卷）（解析卷）.docx
physics,2008,hainan,independent,7,3,9,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2008/2008年高考物理试卷（海南）（解析卷）.docx
chinese,2020,beijing,independent,14,3,9,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2020/2020年高考语文试卷（北京）（解析卷）.docx
politics,2020,national,national_iii,12,3,9,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/politics/2020/2020年高考政治试卷（新课标Ⅲ）（解析卷）.docx
biology,2009,beijing,independent,12,3,9,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/biology/2009/2009年高考生物试卷（北京）（解析卷）.docx
math,2012,hubei,independent,12,3,8,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2012/2012年高考数学试卷（文）（湖北）（解析卷）.docx
math,2011,shaanxi,independent,11,3,8,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2011/2011年高考数学试卷（文）（陕西）（解析卷）.docx
physics,2008,jiangsu,independent,8,3,8,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2008/2008年高考物理试卷（江苏）（解析卷）.docx
politics,2011,hainan,independent,21,3,8,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/politics/2011/2011年高考政治试卷（海南）（解析卷）.docx
physics,2010,anhui,independent,3,3,7,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/physics/2010/2010年高考物理试卷（安徽）（解析卷）.docx
physics,2014,national,national_i,8,3,7,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2014/2014年高考物理试卷（新课标Ⅰ）（解析卷）.docx
physics,2020,national,national_ii,9,3,7,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2020/2020年高考物理试卷（新课标Ⅱ）（解析卷）.docx
physics,2010,guangdong,independent,4,3,7,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2010/2010年高考物理试卷（广东）（解析卷）.docx
politics,2014,beijing,independent,13,3,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/politics/2014/2014年高考政治试卷（北京）（解析卷）.docx
politics,2013,chongqing,independent,3,3,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/politics/2013/2013年高考政治试卷（重庆）（解析卷）.docx
physics,2019,tianjin,independent,9,3,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2019/2019年高考物理试卷（天津）（解析卷）.docx
physics,2016,tianjin,independent,9,3,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2016/2016年高考物理试卷（天津）（解析卷）.docx
physics,2013,tianjin,independent,10,3,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2013/2013年高考物理试卷（天津）（解析卷）.docx
chinese,2020,national,national_ii,6,3,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2020/2020年高考语文试卷（新课标Ⅱ卷）（解析卷）.docx
english,2009,shandong,independent,54,3,6,20,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2009/2009年高考英语试卷（山东）（解析卷）.docx
english,2011,tianjin,independent,30,3,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2011/2011年高考英语试卷（天津）（解析卷）.docx
physics,2018,tianjin,independent,10,3,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2018/2018年高考物理试卷（天津）（解析卷）.docx
politics,2014,tianjin,independent,11,3,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/politics/2014/2014年高考政治试卷（天津）（解析卷）.docx
physics,2015,tianjin,independent,10,3,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2015/2015年高考物理试卷（天津）（解析卷）.docx
biology,2011,shandong,independent,10,3,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/biology/2011/2011年高考生物试卷（山东）（解析卷）.docx
politics,2020,national,national_i,12,3,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/politics/2020/2020年高考政治试卷（新课标Ⅰ）（解析卷）.docx
physics,2009,tianjin,independent,9,3,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2009/2009年高考物理真题（天津）（解析卷）.docx
biology,2020,national,national_iii,6,3,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/biology/2020/2020年高考生物试卷（新课标Ⅲ）（解析卷）.docx
politics,2019,national,national_ii,12,3,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/politics/2019/2019年高考政治试卷（新课标Ⅱ）（解析卷）.docx
physics,2014,tianjin,independent,10,3,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2014/2014年高考物理试卷（天津）（解析卷）.docx
chinese,2012,guangdong,independent,6,3,6,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2012/2012年高考语文试卷（广东）（解析卷）.docx
chemistry,2012,fujian,independent,4,3,5,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chemistry/2012/2012年高考化学试卷（福建）（解析卷）.docx
physics,2008,sichuan,independent,7,3,5,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2008/2008年高考物理真题（四川）（解析卷）.docx
chinese,2019,beijing,independent,4,3,5,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2019/2019年高考语文试卷（北京）（解析卷）.docx
chemistry,2014,guangdong,independent,3,3,5,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chemistry/2014/2014年高考化学试卷（广东）（解析卷）.docx
chinese,2015,national,national_i,7,3,5,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2015/2015年高考语文试卷（新课标Ⅰ卷）（解析卷）.docx
math,2012,sichuan,independent,4,3,5,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2012/2012年高考数学试卷（文）（四川）（解析卷）.docx
chemistry,2015,jiangsu,independent,16,3,5,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chemistry/2015/2015年高考化学试卷（江苏）（解析卷）   .docx
politics,2015,national,national_ii,12,3,5,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/politics/2015/2015年高考政治试卷（新课标Ⅱ）（解析卷）.docx
chinese,2019,national,national_ii,5,3,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2019/2019年高考语文试卷（新课标Ⅱ卷）（解析卷）.docx
biology,2012,anhui,independent,3,3,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/biology/2012/2012年高考生物试卷（安徽）（解析卷）.docx
chinese,2018,tianjin,independent,7,3,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2018/2018年高考语文试卷（天津）（解析卷）.docx
chinese,2018,national,national_i,6,3,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2018/2018年高考语文试卷（新课标Ⅰ卷）（解析卷）.docx
chinese,2019,national,national_iii,5,3,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2019/2019年高考语文试卷（新课标Ⅲ卷）（解析卷）.docx
chinese,2019,jiangsu,independent,9,3,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2019/2019年高考语文试卷（江苏）（解析卷）   .docx
politics,2013,guangdong,independent,3,3,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/politics/2013/2013年高考政治试卷（广东）（解析卷）.docx
chemistry,2008,jiangsu,independent,14,3,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chemistry/2008/2008年高考化学试卷（江苏）（解析卷）.docx
physics,2018,national,national_i,8,3,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2018/2018年高考物理试卷（新课标Ⅰ）（解析卷）.docx
english,2025,beijing,independent,19,3,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/english/2025/2025年高考英语试卷（北京）（解析卷）.docx
chinese,2012,hunan,independent,5,3,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2012/2012年高考语文试卷（湖南）（解析卷）.docx
math,2012,fujian,independent,7,3,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2012/2012年高考数学试卷（文）（福建）（解析卷）.docx
physics,2017,jiangsu,independent,7,3,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2017/2017年高考物理试卷（江苏）（解析卷）.docx
chemistry,2011,jiangsu,independent,15,3,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chemistry/2011/2011年高考化学试卷（江苏）（解析卷）.docx
physics,2014,zhejiang,independent,7,3,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2014/2014年高考物理试卷（浙江）（解析卷）.docx
biology,2013,zhejiang,independent,4,3,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/biology/2013/2013年高考生物试卷（浙江）（解析卷）.docx
english,2010,jiangsu,independent,46,3,4,16,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2010/2010年高考英语试卷（江苏）（解析卷）.docx
politics,2013,jiangsu,independent,34,3,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/politics/2013/2013年高考政治试卷（江苏）（解析卷）.docx
politics,2015,tianjin,independent,11,3,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/politics/2015/2015年高考政治试卷（天津）（解析卷）.docx
biology,2008,jiangsu,independent,25,3,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/biology/2008/2008年高考生物试卷（江苏）（解析卷）.docx
politics,2015,anhui,independent,3,3,4,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/politics/2015/2015年高考政治试卷（安徽）（解析卷）.docx
